Number of Topics,Coherence Score
2,0.3121
3,0.3049
4,0.315
5,0.322
6,0.3215
7,0.333
8,0.3323
9,0.3058
10,0.3029
11,0.3068
12,0.3051
13,0.3273
14,0.3263
15,0.3128
16,0.3195
17,0.3023
18,0.2953
19,0.2834
20,0.2879
21,0.3038
22,0.2984
23,0.283
24,0.3053
25,0.2907
26,0.2925
27,0.2918
28,0.2935
29,0.2923
30,0.2813
