Subject;S03;S05;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S18;S21;S24;S26;S27
S01;2;4;;;;;;2;1;1;;;;;;;
S02;;2;;;;;;;;;;;;;;;1
S03;;;1;3;;;;;;;;;;;1;;
S05;;;;;46;67;;26;3;67;3;2;5;;;46;17
S07;;;;1;;;;;;;;;;;;;
S09;;;;;;1;2;;;13;;;;;;;8
S10;;;;;;;;;;1;;;;;;;
S11;;;;;;;;1;;;;;;;;;
S12;;;;;;;;;;;;;;;;;115
S13;;;;;;;;;;;2;;;;;;
S14;;;;;;;;;;;;;;;;;1
S15;;;;;;;;;;;;;;;;;7
S17;;;;;;;;;;;;;;1;;;
S21;;;;;;;;;;;;;;;1;;
S22;;;;;;;;;;;;;;;;;
S23;;;;;;;;;;;;;;;;;
S27;;;;;;;;;;;;;;;;;
